x_from=50000
x_to=51000
now is 2014-03-10.00:33:51
50012^100 + 6345^77
50012^62 + 43795^11
50012^58 + 18773^90
50012^9 + 43871^52
50012^15 + 43871^78
50012^22 + 43917^76
50012^85 + 31469^37
50012^14 + 18871^43
50012^98 + 31517^25
50012^24 + 6671^8
50012^50 + 19021^36
50012^3 + 44415^61
50012^96 + 19487^68
50012^77 + 32059^74
50012^43 + 7151^94
50012^30 + 44623^50
50012^62 + 44693^24
50012^35 + 44695^14
50012^91 + 19649^75
50012^10 + 32239^49
50012^22 + 7343^81
50012^29 + 19731^67
50012^87 + 7389^13
50012^36 + 32345^72
50012^53 + 44857^96
50012^33 + 32469^61
50012^5 + 19927^59
50012^76 + 32495^70
50012^3 + 45027^44
50012^33 + 32593^48
50012^80 + 45117^25
50012^97 + 32673^21
50012^85 + 20155^13
50012^26 + 32837^50
50012^60 + 32905^18
50012^45 + 20413^17
50012^97 + 8039^64
50012^61 + 20509^84
50012^87 + 8239^61
50012^14 + 8265^19
50012^12 + 33247^9
50012^48 + 20747^29
50012^36 + 45793^37
50012^23 + 45795^98
50012^99 + 20779^67
50012^11 + 20837^51
50012^67 + 45907^86
50012^72 + 45943^45
50012^68 + 20965^7
50012^100 + 21079^9
50012^51 + 46177^79
50012^98 + 46231^35
50012^91 + 8841^81
50012^71 + 46305^73
50012^32 + 8927^76
50012^46 + 8955^59
50012^70 + 8981^54
50012^100 + 21343^46
50012^5 + 21377^58
50012^51 + 9041^44
50012^37 + 21451^87
50012^74 + 46519^59
50012^21 + 34001^97
50012^15 + 9187^7
50012^81 + 46699^67
50012^50 + 34165^12
50012^43 + 9289^7
50012^45 + 34227^29
50012^70 + 46785^95
50012^3 + 9377^88
50012^41 + 21841^67
50012^36 + 34421^16
50012^19 + 46971^62
50012^69 + 9611^88
50012^33 + 9661^32
50012^67 + 9745^3
50012^33 + 47173^59
50012^59 + 22131^37
50012^20 + 9775^46
50012^61 + 9797^53
50012^15 + 34709^46
50012^51 + 22275^51
50012^24 + 47365^43
50012^58 + 34973^52
50012^18 + 22477^13
50012^45 + 47555^14
50012^52 + 10255^85
50012^37 + 10323^41
50012^24 + 47779^21
50012^98 + 35259^23
50012^49 + 35323^81
50012^14 + 47957^17
50012^98 + 10593^78
50012^87 + 35527^99
50012^42 + 48085^16
50012^8 + 23159^57
50012^94 + 35697^9
50012^47 + 48351^29
50012^62 + 23403^8
50012^9 + 35967^16
50012^93 + 36011^37
50012^66 + 11117^15
50012^8 + 36123^61
50012^80 + 36133^60
50012^53 + 23609^71
50012^12 + 36147^90
50012^12 + 11277^11
50012^92 + 48711^10
50012^25 + 48713^93
50012^7 + 36207^85
50012^44 + 23737^23
50012^27 + 48791^93
50012^64 + 11381^3
50012^55 + 48811^70
50012^21 + 48847^40
50012^21 + 36343^33
50012^83 + 48867^18
50012^17 + 48931^91
50012^35 + 36429^19
50012^44 + 36503^14
50012^74 + 36515^70
50012^4 + 36597^21
50012^42 + 11737^65
50012^73 + 49147^100
50012^60 + 11809^64
50012^15 + 36753^58
50012^52 + 49237^93
50012^35 + 49253^47
50012^96 + 11889^30
50012^83 + 11913^94
50012^56 + 11993^69
50012^64 + 36883^89
50012^61 + 36937^44
50012^91 + 24409^99
50012^60 + 49449^25
50012^75 + 49479^85
50012^5 + 49525^50
50012^20 + 37127^45
50012^58 + 24633^42
50012^15 + 49659^37
50012^58 + 37185^65
50012^67 + 49735^100
50012^89 + 49887^42
50012^32 + 24915^30
50013^50 + 12629^87
50013^73 + 12701^55
y=19000
50013^24 + 25240^53
50013^35 + 25253^20
50013^66 + 268^86
50013^9 + 19039^83
50013^85 + 290^92
50013^26 + 12836^51
50013^72 + 25357^42
50013^42 + 12892^93
50013^35 + 19186^89
50013^39 + 448^10
50013^43 + 12944^12
y=13000
50013^39 + 13115^26
50013^83 + 13160^67
50013^30 + 13166^96
50013^72 + 13171^43
50013^93 + 25694^15
50013^86 + 19501^76
50013^62 + 757^55
50013^56 + 19514^57
50013^53 + 13259^45
50013^65 + 19549^24
50013^70 + 13288^61
50013^98 + 25820^6
50013^30 + 19649^50
50013^45 + 19657^56
50013^19 + 13441^7
50013^39 + 19702^49
50013^72 + 19705^91
50013^67 + 19709^86
50013^51 + 25963^28
50013^23 + 967^96
50013^8 + 25975^95
y=1000
y=26000
50013^99 + 1022^57
50013^78 + 26047^69
50013^58 + 13556^91
50013^49 + 19862^5
50013^35 + 19892^46
50013^54 + 1235^83
50013^12 + 19999^91
y=20000
50013^65 + 1328^49
50013^68 + 20095^72
50013^98 + 1370^48
50013^79 + 20155^33
50013^7 + 20212^3
50013^92 + 26452^78
50013^49 + 1507^100
y=14000
50013^29 + 14026^33
50013^38 + 14054^83
50013^29 + 26554^66
50013^88 + 20344^11
50013^85 + 1612^95
50013^83 + 20518^40
50013^28 + 14308^87
50013^29 + 26920^76
y=2000
50013^72 + 2056^42
50013^57 + 2075^8
50013^72 + 27067^33
50013^42 + 14590^13
50013^91 + 20852^53
50013^46 + 27077^83
50013^20 + 27109^85
50013^12 + 14624^98
50013^50 + 2168^25
50013^32 + 27226^93
50013^53 + 2353^22
50013^31 + 14852^47
50013^67 + 2414^61
50013^66 + 21188^33
50013^26 + 14972^79
50013^36 + 15059^89
50013^97 + 27538^96
50013^37 + 15109^50
50013^92 + 21382^68
50013^81 + 27626^35
50013^75 + 2684^41
50013^23 + 2701^87
50013^57 + 27679^71
50013^42 + 2762^72
50013^98 + 15274^44
50013^84 + 2830^96
50013^10 + 15338^44
50013^76 + 2843^83
50013^52 + 21602^52
50013^41 + 2848^93
50013^16 + 21608^75
50013^54 + 15388^96
50013^46 + 2890^85
50013^23 + 27890^98
50013^15 + 21706^78
50013^25 + 21709^7
50013^87 + 2992^8
50013^43 + 2995^22
50013^19 + 27926^60
50013^79 + 3052^7
y=28000
50013^27 + 28061^50
y=22000
50013^47 + 15782^15
50013^18 + 15784^91
50013^9 + 15874^85
50013^39 + 3382^33
50013^23 + 22154^38
50013^83 + 28319^92
50013^10 + 3428^61
50013^83 + 15959^24
y=16000
50013^64 + 3533^42
50013^51 + 3610^97
50013^73 + 28562^88
50013^20 + 22406^58
50013^85 + 28585^100
50013^27 + 22429^86
50013^84 + 3674^36
50013^65 + 3692^16
50013^6 + 28646^69
50013^53 + 16285^99
50013^41 + 28786^66
50013^53 + 3857^39
50013^55 + 3859^79
50013^40 + 3862^87
50013^55 + 3884^46
50013^15 + 22715^30
50013^95 + 28894^43
y=4000
y=29000
50013^82 + 29023^33
50013^24 + 16591^77
50013^96 + 4162^73
50013^60 + 16685^31
50013^11 + 29131^77
50013^77 + 16717^7
y=23000
50013^20 + 16724^67
50013^26 + 4373^47
50013^17 + 16870^93
50013^76 + 29330^72
50013^43 + 4415^78
50013^42 + 16978^100
50013^38 + 29440^69
y=17000
50013^10 + 23294^79
50013^28 + 23375^7
50013^81 + 23425^39
50013^34 + 29591^99
50013^72 + 17231^84
50013^83 + 4892^11
50013^13 + 29849^40
50013^64 + 17440^54
50013^72 + 23744^69
y=5000
50013^42 + 5002^37
50013^70 + 5003^26
50013^65 + 17497^10
50013^50 + 17498^61
50013^93 + 5080^57
50013^4 + 23839^8
50013^54 + 30026^7
50013^93 + 30031^15
50013^45 + 30097^94
50013^64 + 17663^17
50013^66 + 17674^23
50013^54 + 5245^33
50013^12 + 5246^5
50013^35 + 30157^9
50013^14 + 17740^45
50013^30 + 24046^67
50013^51 + 5302^4
50013^71 + 5303^81
50013^68 + 24056^20
50013^55 + 30238^16
50013^62 + 30265^16
50013^82 + 5365^39
50013^44 + 24136^71
50013^91 + 5384^16
50013^95 + 5507^33
50013^69 + 17978^70
50013^50 + 24299^23
50013^24 + 30488^47
50013^57 + 5576^45
50013^93 + 18076^57
50013^32 + 18086^76
50013^15 + 18127^62
50013^67 + 5714^84
50013^12 + 24518^8
50013^26 + 30677^21
50013^12 + 18244^78
50013^3 + 5824^10
50013^85 + 30784^11
50013^43 + 24686^21
50013^55 + 24745^44
50013^100 + 24790^50
50013^92 + 30946^85
50013^13 + 18454^39
50013^41 + 24833^72
50013^73 + 30998^98
y=31000
50013^30 + 18544^40
50013^88 + 18610^15
50013^80 + 24986^27
50013^86 + 18640^60
y=25000
50013^61 + 6244^16
50013^80 + 6278^67
50013^59 + 31210^65
50013^3 + 18707^58
50013^49 + 6305^96
50013^62 + 6325^42
50013^35 + 31292^84
50013^94 + 6380^84
50013^76 + 9406^64
50013^100 + 9418^5
50013^48 + 9431^84
50013^35 + 31327^71
50013^54 + 31343^82
50013^81 + 9448^55
50013^36 + 9563^22
50013^56 + 6554^78
50013^18 + 37777^43
50013^7 + 6584^7
50013^8 + 31504^38
50013^78 + 9625^57
50013^94 + 6619^42
50013^46 + 6625^68
50013^95 + 37837^14
50013^79 + 37853^25
50013^43 + 37880^65
50013^38 + 37892^64
50013^42 + 37895^66
50013^19 + 6724^74
50013^52 + 9742^22
50013^53 + 6734^90
50013^99 + 37943^12
50013^15 + 37967^77
50013^4 + 6772^91
y=38000
50013^36 + 31708^43
50013^64 + 6827^32
50013^65 + 38098^7
50013^83 + 38150^29
50013^37 + 9962^73
50013^9 + 31877^6
50013^53 + 38168^5
50013^97 + 31898^87
y=10000
y=7000
50013^89 + 31927^81
50013^50 + 10027^10
y=32000
50013^60 + 32009^6
50013^42 + 7106^74
50013^59 + 32033^6
50013^99 + 7123^27
50013^90 + 7213^70
50013^70 + 32132^83
50013^88 + 38420^51
50013^35 + 32164^6
50013^72 + 10285^29
50013^41 + 32209^9
50013^85 + 38528^92
50013^73 + 10378^87
50013^37 + 38566^20
50013^84 + 7382^83
50013^18 + 7433^74
50013^66 + 38621^43
50013^62 + 7513^88
